n	k	rho	expectation	normalized	limit_constant	observed_sqrt_correction	mixture_difference
1	1	0.5	0.5	0.5	0.626657068657750	-0.126657068657750	0
2	2	0.5	1.55555555555556	0.549971940922870	0.626657068657750	-0.153370255469760	-1.1e-19
3	3	0.5	2.97	0.571576766497729	0.626657068657750	-0.165240906479643	-8.7e-19
25	25	0.5	77.3742979334437	0.618994383467550	0.626657068657750	-0.191567129755012	less_than_1e-13
100	100	0.5	624.709598771056	0.624709598771056	0.626657068657750	-0.194746988669408	6.8e-14
400	400	0.5	5009.34538163599	0.626168172704499	0.626657068657750	-0.195558381300543	8.9e-13
800	800	0.5	14174.0957375937	0.626412450827490	0.626657068657750	-0.195694264207887	1.7e-11
1600	1600	0.5	40098.2219030678	0.626534717235434	0.626657068657750	-0.195762275705056	4.1e-11
100	50	0.25	539.679867709552	0.539679867709552	0.542700940918701	nan	nan
400	200	0.25	4335.51807590759	0.541939759488449	0.542700940918701	nan	nan
800	400	0.25	12271.2974581791	0.542319852914732	0.542700940918701	nan	nan
100	20	0.1	369.966929896995	0.369966929896995	0.375994241194650	nan	nan
400	80	0.1	2995.65949848258	0.374457437310322	0.375994241194650	nan	nan
800	160	0.1	8490.33370835894	0.375223283732333	0.375994241194650	nan	nan
